,NSRDB loc,OID_,case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
2092,443735,2092,400135,single,57338,NM,Dona Ana,31.80310059,-106.6699982,681807,20210222,4,Roadrunner Solar,2011,EPE,PV,thin-film,single-axis,180,20,,20.16,23.8,greenfield,non-agrivoltaic,-0.801538
2134,422738,2134,402177,single,61165,NM,Luna,31.86770058,-107.5889969,45064,20210115,4,Columbus Solar Project,2017,PNM,PV,c-si,single-axis,180,16,,1.9,2.3,greenfield,non-agrivoltaic,-0.427312
2101,451308,2101,400343,single,57986,NM,Otero,32.03590012,-106.336998,544545,20201215,4,"SunE EPE1, LLC",2012,EPE,PV,c-si,single-axis,180,,,10,11.3,greenfield,non-agrivoltaic,-1.12994
2098,532495,2098,400260,multi,57736,NM,Lea,32.12990189,-103.1380005,289614,20220418,4,SPS1 Dollarhide,2011,SWPP,PV,c-si,single-axis,181,0,,9.9,10.7,greenfield,non-agrivoltaic,-0.754247
2100,438132,2100,400342,single,57985,NM,Dona Ana,32.2478981,-106.9110031,498054,20210821,4,"SunE EPE2, LLC",2012,EPE,PV,c-si,single-axis,180,,,12,13.6,greenfield,non-agrivoltaic,-0.977871
2114,504322,2114,400264,multi,57740,NM,Eddy,32.34400177,-104.2350006,286804,20220206,1,SPS5 Hopi,2011,SWPP,PV,c-si,single-axis,180,0,,9.9,10.9,greenfield,non-agrivoltaic,-0.729673
2094,424521,2094,400838,multi,59010,NM,Luna,32.57120132,-107.4850006,1780533,20211019,4,Macho Springs,2014,EPE,PV,thin-film,single-axis,180,20,,52.2,64.6,greenfield,non-agrivoltaic,-0.769662
2091,429936,2091,400216,single,57591,NM,Dona Ana,32.62860107,-107.2600021,119289,20211011,4,"Hatch Solar Energy Center I, LLC",2011,EPE,PV,cpv,dual-axis,180,0,,5.04,5.6,greenfield,non-agrivoltaic,-0.522281
2099,528281,2099,400262,multi,57738,NM,Lea,32.68170166,-103.3010025,297623,20211224,4,SPS3 Lea,2011,SWPP,PV,c-si,single-axis,181,20,,10.08,10.6,greenfield,non-agrivoltaic,-0.785107
2127,407538,2127,400596,single,58540,NM,Grant,32.71300125,-108.2480011,17078,20220117,4,Silver City WWTP PV Project,2013,PNM,PV,c-si,fixed-tilt,180,0,,1,1.1,greenfield,non-agrivoltaic,-0.117102
2087,459837,2087,400581,multi,58520,NM,Otero,32.97679901,-105.9720001,182224,20220302,4,Otero Solar,2013,PNM,PV,thin-film,fixed-tilt,180,0,,7.5,9.6,greenfield,non-agrivoltaic,-0.389176
2148,496052,2148,400546,single,58479,NM,Chaves,33.34909821,-104.5390015,44730,20220313,4,SEV NM Phase 2,2013,SWPP,PV,c-si,fixed-tilt,180,26,,1.4,2.5,greenfield,non-agrivoltaic,-0.314743
2135,465549,2135,402519,multi,61662,NM,Lincoln,33.61190033,-105.7490005,73526,20200310,4,Carrizozo Solar,2018,PNM,PV,c-si,single-axis,180,20,,3,3.6,greenfield,non-agrivoltaic,-0.475478
2095,447439,2095,401201,single,59618,NM,Valencia,34.80970001,-106.5169983,304913,20220216,4,Meadow Lake Solar Energy Center,2015,PNM,PV,thin-film,single-axis,180,0,,9.12,11.4,greenfield,non-agrivoltaic,-0.743994
2111,440846,2111,402441,single,61556,NM,Valencia,34.83359909,-106.7809982,234111,20220308,4,Facebook 1 Solar Energy Center,2017,PNM,PV,c-si,single-axis,180,0,,10,12.5,greenfield,non-agrivoltaic,-0.37268
2109,519836,2109,400979,single,59251,NM,Quay,34.98680115,-103.6279984,799694,20190202,4,"Caprock Solar 1, LLC",2016,SWPP,PV,c-si,single-axis,180,22,,25,32,greenfield,non-agrivoltaic,-0.683037
2089,456938,2089,403736,multi,63579,NM,Torrance,35.01649857,-106.0970001,1203702,20200430,4,Britton Solar Energy Center,2019,PNM,PV,c-si,single-axis,180,30,,50,67.7,greenfield,non-agrivoltaic,-0.306571
2097,429870,2097,401202,single,59619,NM,Cibola,35.25579834,-107.2490005,223799,20210406,4,Cibola,2015,PNM,PV,thin-film,single-axis,180,20,,7.6,9.4,greenfield,non-agrivoltaic,-0.636949
2129,439901,2129,400623,multi,58588,NM,Sandoval,35.31219864,-106.6380005,21876,20220726,4,Sue Cleveland High School,2013,PNM,PV,c-si,fixed-tilt,180,20,,1,1.2,greenfield,non-agrivoltaic,-0.338783
2088,396067,2088,402988,single,62406,NM,McKinley,35.5237999,-108.7730026,130601,20200816,4,City of Gallup Solar,2018,PNM,PV,c-si,single-axis,180,30,,8,9.8,greenfield,non-agrivoltaic,0.12944
2120,465549,2120,403387,single,63081,NM,San Miguel,35.63430023,-105.1760025,440171,20220517,1,San Miguel I Solar Energy Center,2019,PNM,PV,c-si,single-axis,180,0,,10,12.8,greenfield,non-agrivoltaic,-0.936732
2124,452164,2124,400434,multi,58256,NM,Los Alamos,35.87609863,-106.310997,22346,20210808,4,Los Alamos PV Site,2012,PNM,PV,c-si,fixed-tilt,180,,,1,1.1,landfill,non-agrivoltaic,-0.469365
2143,455003,2143,403412,single,63124,NM,Rio Arriba,36.33119965,-106.1900024,29639,20220908,4,Syncarpha El Rito,2019,PNM,PV,c-si,single-axis,180,25,,1.6,2,greenfield,non-agrivoltaic,-0.0459207
2093,493920,2093,400104,single,57243,NM,Colfax,36.46849823,-104.6350021,912545,20210704,4,Cimarron Solar Facility,2010,WACM,PV,thin-film,fixed-tilt,180,25,,30.64,37.4,greenfield,non-agrivoltaic,-0.660558
2122,460677,2122,400427,single,58240,NM,Taos,36.96630096,-105.4369965,37409,20211121,4,Kit Carson,2012,PNM,PV,c-si,single-axis,180,25,,1.3,1.3,greenfield,non-agrivoltaic,-0.805163
